Customer ID,Recency,Frequency,Monetary,Monetary_capped,R_score,F_score,M_score,RFM_Score,RFM_Total,Segment
12512,66,2,132,132,3,2,1,321,6,Lost
12513,113,1,558,558,3,1,2,312,6,Lost
12514,267,2,1598,1598,2,2,4,224,8,Lost
12515,353,1,279,279,2,1,1,211,4,Lost
12516,78,4,2289,2289,3,3,4,334,10,Loyal Customers
12517,28,4,2302,2302,4,3,4,434,11,Loyal Customers
12518,1,5,1841,1841,5,4,4,544,13,Champions
12519,64,2,627,627,3,2,3,323,8,Lost
12520,79,5,2346,2346,3,4,4,344,11,Loyal Customers
12521,143,1,546,546,3,1,2,312,6,Lost
12522,39,2,157,157,4,2,1,421,7,New Customers
12523,19,23,4010,4010,5,5,5,555,15,Champions
12524,9,17,9794,9794,5,5,5,555,15,Champions
12525,498,3,884,884,1,3,3,133,7,At Risk
12526,1,3,1173,1173,5,3,3,533,11,Loyal Customers
12527,82,5,718,718,3,4,3,343,10,Loyal Customers
12528,9,6,1645,1645,5,4,4,544,13,Champions
12529,528,1,316,316,1,1,2,112,4,Lost
12530,60,9,3381,3381,3,5,5,355,13,Loyal Customers
12531,15,2,1771,1771,5,2,4,524,11,New Customers
12532,30,1,314,314,4,1,2,412,7,New Customers
12533,628,2,1224,1224,1,2,4,124,7,Lost
12534,131,1,981,981,3,1,3,313,7,Lost
12535,92,2,716,716,3,2,3,323,8,Lost
12536,59,1,4280,4280,4,1,5,415,10,New Customers
12537,409,1,613,613,2,1,3,213,6,Lost
12538,29,2,640,640,4,2,3,423,9,New Customers
12539,22,7,11187,11187,4,4,5,445,13,Champions
12540,20,32,19250,19250,4,5,5,455,14,Champions
12541,30,3,841,841,4,3,3,433,10,Loyal Customers
12542,484,2,482,482,1,2,2,122,5,Lost
12543,448,1,840,840,1,1,3,113,5,Lost
12544,36,1,317,317,4,1,2,412,7,New Customers
12545,75,2,832,832,3,2,3,323,8,Lost
12546,47,2,1022,1022,4,2,3,423,9,New Customers
12547,198,3,300,300,2,3,2,232,7,At Risk
12548,166,1,67,67,3,1,1,311,5,Lost
12549,576,5,1571,1571,1,4,4,144,9,At Risk
12550,79,1,825,825,3,1,3,313,7,Lost
12551,358,1,168,168,2,1,1,211,4,Lost
12552,40,1,318,318,4,1,2,412,7,New Customers
12553,8,12,4105,4105,5,5,5,555,15,Champions
12554,449,1,384,384,1,1,2,112,4,Lost
12555,682,1,129,129,1,1,1,111,3,Lost
12556,50,2,600,600,4,2,2,422,8,New Customers
12557,16,8,18096,18096,5,4,5,545,14,Champions
12558,8,1,270,270,5,1,1,511,7,New Customers
12559,311,2,526,526,2,2,2,222,6,Lost
12560,5,2,1918,1918,5,2,4,524,11,New Customers
12561,303,1,239,239,2,1,1,211,4,Lost
12562,8,9,4427,4427,5,5,5,555,15,Champions
12563,409,1,221,221,2,1,1,211,4,Lost
12564,261,1,403,403,2,1,2,212,5,Lost
12565,289,1,146,146,2,1,1,211,4,Lost
12566,86,1,298,298,3,1,2,312,6,Lost
12567,23,15,10741,10741,4,5,5,455,14,Champions
12568,645,1,52,52,1,1,1,111,3,Lost
12569,2,32,3153,3153,5,5,5,555,15,Champions
12570,682,1,78,78,1,1,1,111,3,Lost
12571,40,2,520,520,4,2,2,422,8,New Customers
12572,9,2,912,912,5,2,3,523,10,New Customers
12573,227,5,717,717,2,4,3,243,9,At Risk
12574,316,1,182,182,2,1,1,211,4,Lost
12575,457,2,569,569,1,2,2,122,5,Lost
12576,36,8,2063,2063,4,4,4,444,12,Champions
12577,35,8,1613,1613,4,4,4,444,12,Champions
12578,21,4,4026,4026,4,3,5,435,12,Loyal Customers
12579,78,1,386,386,3,1,2,312,6,Lost
12580,247,2,963,963,2,2,3,223,7,Lost
12581,40,1,180,180,4,1,1,411,6,New Customers
12582,239,4,1820,1820,2,3,4,234,9,At Risk
12583,3,27,12494,12494,5,5,5,555,15,Champions
12584,4,9,2254,2254,5,5,4,554,14,Champions
12585,234,2,1824,1824,2,2,4,224,8,Lost
12586,17,4,2063,2063,5,3,4,534,12,Loyal Customers
12587,8,1,104,104,5,1,1,511,7,New Customers
12588,39,3,719,719,4,3,3,433,10,Loyal Customers
12589,29,6,3295,3295,4,4,5,445,13,Champions
12590,211,1,9341,9341,2,1,5,215,8,Lost
12591,317,3,1115,1115,2,3,3,233,8,At Risk
12592,92,4,1724,1724,3,3,4,334,10,Loyal Customers
12593,109,3,382,382,3,3,2,332,8,Loyal Customers
12594,38,14,4890,4890,4,5,5,455,14,Champions
12595,505,1,281,281,1,1,1,111,3,Lost
12596,51,2,450,450,4,2,2,422,8,New Customers
12597,19,4,3195,3195,5,3,5,535,13,Loyal Customers
12598,10,10,4192,4192,5,5,5,555,15,Champions
12599,29,13,2027,2027,4,5,4,454,13,Champions
12600,29,21,4390,4390,4,5,5,455,14,Champions
12601,190,6,573,573,2,4,2,242,8,At Risk
12602,59,1,153,153,4,1,1,411,6,New Customers
12603,22,1,613,613,4,1,3,413,8,New Customers
12604,79,2,236,236,3,2,1,321,6,Lost
12605,376,3,1125,1125,2,3,3,233,8,At Risk
12606,682,1,21,21,1,1,1,111,3,Lost
12607,60,1,1580,1580,3,1,4,314,8,Lost
12608,405,1,416,416,2,1,2,212,5,Lost
12609,78,9,3022,3022,3,5,5,355,13,Loyal Customers
12610,23,4,1748,1748,4,3,4,434,11,Loyal Customers
12611,52,1,1193,1193,4,1,3,413,8,New Customers
12612,74,1,668,668,3,1,3,313,7,Lost
12613,57,9,6277,6277,4,5,5,455,14,Champions
12614,278,1,316,316,2,1,2,212,5,Lost
12615,2,8,5363,5363,5,4,5,545,14,Champions
12616,95,3,1023,1023,3,3,3,333,9,Loyal Customers
12617,29,1,353,353,4,1,2,412,7,New Customers
12618,22,1,137,137,4,1,1,411,6,New Customers
12619,16,9,3086,3086,5,5,5,555,15,Champions
12620,15,3,1303,1303,5,3,4,534,12,Loyal Customers
12621,2,35,22097,22097,5,5,5,555,15,Champions
12622,232,1,162,162,2,1,1,211,4,Lost
12623,276,7,3316,3316,2,4,5,245,11,At Risk
12624,106,2,569,569,3,2,2,322,7,Lost
12625,212,4,4679,4679,2,3,5,235,10,At Risk
12626,23,9,5954,5954,4,5,5,455,14,Champions
12627,11,6,4083,4083,5,4,5,545,14,Champions
12628,4,3,732,732,5,3,3,533,11,Loyal Customers
12629,386,2,1198,1198,2,2,3,223,7,Lost
12630,10,2,1031,1031,5,2,3,523,10,New Customers
12631,57,6,3322,3322,4,4,5,445,13,Champions
12632,521,2,715,715,1,2,3,123,6,Lost
12633,59,7,5156,5156,4,4,5,445,13,Champions
12634,548,1,360,360,1,1,2,112,4,Lost
12635,90,4,2624,2624,3,3,4,334,10,Loyal Customers
12637,67,12,8086,8086,3,5,5,355,13,Loyal Customers
12638,33,2,681,681,4,2,3,423,9,New Customers
12639,239,3,1072,1072,2,3,3,233,8,At Risk
12640,24,3,995,995,4,3,3,433,10,Loyal Customers
12641,115,1,146,146,3,1,1,311,5,Lost
12642,25,3,905,905,4,3,3,433,10,Loyal Customers
12643,128,11,7804,7804,3,5,5,355,13,Loyal Customers
12644,130,4,1900,1900,3,3,4,334,10,Loyal Customers
12645,34,8,3215,3215,4,4,5,445,13,Champions
12646,5,2,1347,1347,5,2,4,524,11,New Customers
12647,22,35,14110,14110,4,5,5,455,14,Champions
12648,155,4,1039,1039,3,3,3,333,9,Loyal Customers
12649,107,8,2097,2097,3,4,4,344,11,Loyal Customers
12650,3,1,242,242,5,1,1,511,7,New Customers
12651,335,4,378,378,2,3,2,232,7,At Risk
12652,331,2,891,891,2,2,3,223,7,Lost
12653,149,3,4161,4161,3,3,5,335,11,Loyal Customers
12654,11,5,530,530,5,4,2,542,11,Loyal Customers
12655,424,1,243,243,1,1,1,111,3,Lost
12656,17,8,5724,5724,5,4,5,545,14,Champions
12657,11,4,1427,1427,5,3,4,534,12,Loyal Customers
12658,19,1,632,632,5,1,3,513,9,New Customers
12659,30,1,74,74,4,1,1,411,6,New Customers
12660,11,1,227,227,5,1,1,511,7,New Customers
12661,436,1,162,162,1,1,1,111,3,Lost
12662,1,20,6131,6131,5,5,5,555,15,Champions
12663,625,2,185,185,1,2,1,121,4,Lost
12664,8,11,5420,5420,5,5,5,555,15,Champions
12665,325,3,260,260,2,3,1,231,6,At Risk
12666,394,1,1248,1248,2,1,4,214,7,Lost
12667,58,1,460,460,4,1,2,412,7,New Customers
12668,12,9,9906,9906,5,5,5,555,15,Champions
12669,151,2,1428,1428,3,2,4,324,9,Lost
12670,10,7,3436,3436,5,4,5,545,14,Champions
12671,606,1,2622,2622,1,1,4,114,6,Lost
12672,330,2,407,407,2,2,2,222,6,Lost
12673,5,3,1140,1140,5,3,3,533,11,Loyal Customers
12674,39,4,1845,1845,4,3,4,434,11,Loyal Customers
12675,554,2,873,873,1,2,3,123,6,Lost
12676,25,10,2333,2333,4,5,4,454,13,Champions
12677,555,2,359,359,1,2,2,122,5,Lost
12678,42,15,32595,28616,4,5,5,455,14,Champions
12679,59,4,951,951,4,3,3,433,10,Loyal Customers
12680,1,4,791,791,5,3,3,533,11,Loyal Customers
12681,15,44,26937,26937,5,5,5,555,15,Champions
12682,4,51,20736,20736,5,5,5,555,15,Champions
12683,4,20,10446,10446,5,5,5,555,15,Champions
12684,8,6,2074,2074,5,4,4,544,13,Champions
12685,28,6,2575,2575,4,4,4,444,12,Champions
12686,372,1,71,71,2,1,1,211,4,Lost
12687,481,1,1859,1859,1,1,4,114,6,Lost
12688,114,1,4874,4874,3,1,5,315,9,Lost
12689,26,2,1140,1140,4,2,3,423,9,New Customers
12690,206,1,335,335,2,1,2,212,5,Lost
12691,28,6,1044,1044,4,4,3,443,11,Loyal Customers
12692,637,1,111,111,1,1,1,111,3,Lost
12693,127,7,1415,1415,3,4,4,344,11,Loyal Customers
12694,70,3,1663,1663,3,3,4,334,10,Loyal Customers
12695,7,7,1371,1371,5,4,4,544,13,Champions
12696,435,2,732,732,1,2,3,123,6,Lost
12697,29,3,758,758,4,3,3,433,10,Loyal Customers
12698,590,1,286,286,1,1,2,112,4,Lost
12699,418,1,566,566,1,1,2,112,4,Lost
12700,8,4,4526,4526,5,3,5,535,13,Loyal Customers
12701,80,6,2248,2248,3,4,4,344,11,Loyal Customers
12702,20,1,201,201,4,1,1,411,6,New Customers
12703,71,4,899,899,3,3,3,333,9,Loyal Customers
12704,7,8,1741,1741,5,4,4,544,13,Champions
12705,15,13,11114,11114,5,5,5,555,15,Champions
12707,292,1,603,603,2,1,2,212,5,Lost
12708,30,18,4560,4560,4,5,5,455,14,Champions
12709,15,33,29572,28616,5,5,5,555,15,Champions
12710,97,3,1023,1023,3,3,3,333,9,Loyal Customers
12711,612,2,1213,1213,1,2,4,124,7,Lost
12712,29,21,5985,5985,4,5,5,455,14,Champions
12713,1,1,795,795,5,1,3,513,9,New Customers
12714,9,12,12816,12816,5,5,5,555,15,Champions
12715,106,1,263,263,3,1,1,311,5,Lost
12716,4,2,963,963,5,2,3,523,10,New Customers
12717,151,3,1059,1059,3,3,3,333,9,Loyal Customers
12718,71,1,202,202,3,1,1,311,5,Lost
12719,5,2,573,573,5,2,2,522,9,New Customers
12720,3,29,6905,6905,5,5,5,555,15,Champions
12721,32,8,3635,3635,4,4,5,445,13,Champions
12722,85,4,980,980,3,3,3,333,9,Loyal Customers
12723,4,5,707,707,5,4,3,543,12,Loyal Customers
12724,5,7,2084,2084,5,4,4,544,13,Champions
12725,371,3,1907,1907,2,3,4,234,9,At Risk
12726,28,11,3691,3691,4,5,5,455,14,Champions
12727,11,10,4906,4906,5,5,5,555,15,Champions
12728,71,5,926,926,3,4,3,343,10,Loyal Customers
12729,114,1,417,417,3,1,2,312,6,Lost
12730,522,1,703,703,1,1,3,113,5,Lost
12731,24,17,25632,25632,4,5,5,455,14,Champions
12732,180,1,218,218,3,1,1,311,5,Lost
12733,234,4,2424,2424,2,3,4,234,9,At Risk
12734,353,3,604,604,2,3,3,233,8,At Risk
12735,315,2,690,690,2,2,3,223,7,Lost
12736,333,1,144,144,2,1,1,211,4,Lost
12738,372,1,137,137,2,1,1,211,4,Lost
12739,99,2,2421,2421,3,2,4,324,9,Lost
12740,64,1,428,428,3,1,2,312,6,Lost
12741,533,1,236,236,1,1,1,111,3,Lost
12742,626,1,1202,1202,1,1,4,114,6,Lost
12743,134,2,540,540,3,2,2,322,7,Lost
12744,56,8,13158,13158,4,4,5,445,13,Champions
12745,487,3,925,925,1,3,3,133,7,At Risk
12746,541,1,255,255,1,1,1,111,3,Lost
12747,2,26,8898,8898,5,5,5,555,15,Champions
12748,1,323,49564,28616,5,5,5,555,15,Champions
12749,4,9,6847,6847,5,5,5,555,15,Champions
12750,129,1,276,276,3,1,1,311,5,Lost
12751,445,1,268,268,1,1,1,111,3,Lost
12752,81,1,4367,4367,3,1,5,315,9,Lost
12753,23,6,21429,21429,4,4,5,445,13,Champions
12754,236,3,3011,3011,2,3,5,235,10,At Risk
12755,281,11,5236,5236,2,5,5,255,12,At Risk
12756,87,1,112,112,3,1,1,311,5,Lost
12757,16,9,4177,4177,5,5,5,555,15,Champions
12758,117,7,9903,9903,3,4,5,345,12,Loyal Customers
12759,52,8,4619,4619,4,4,5,445,13,Champions
12760,456,1,318,318,1,1,2,112,4,Lost
12761,465,1,713,713,1,1,3,113,5,Lost
12762,8,2,1703,1703,5,2,4,524,11,New Customers
12763,138,2,494,494,3,2,2,322,7,Lost
12764,317,1,1694,1694,2,1,4,214,7,Lost
12765,472,6,1300,1300,1,4,4,144,9,At Risk
12766,4,9,8135,8135,5,5,5,555,15,Champions
12767,376,1,950,950,2,1,3,213,6,Lost
12768,451,1,169,169,1,1,1,111,3,Lost
12769,239,1,1144,1144,2,1,3,213,6,Lost
12770,211,2,3246,3246,2,2,5,225,9,Lost
12771,486,1,226,226,1,1,1,111,3,Lost
12772,60,1,752,752,3,1,3,313,7,Lost
12773,564,1,124,124,1,1,1,111,3,Lost
12774,536,1,84,84,1,1,1,111,3,Lost
12775,17,7,1551,1551,5,4,4,544,13,Champions
12776,668,1,28,28,1,1,1,111,3,Lost
12777,458,1,519,519,1,1,2,112,4,Lost
12778,20,9,1542,1542,4,5,4,454,13,Champions
12779,38,14,6474,6474,4,5,5,455,14,Champions
12780,599,1,322,322,1,1,2,112,4,Lost
12781,64,2,787,787,3,2,3,323,8,Lost
12782,5,11,3862,3862,5,5,5,555,15,Champions
12783,2,4,1296,1296,5,3,4,534,12,Loyal Customers
12784,15,2,1511,1511,5,2,4,524,11,New Customers
12785,364,3,904,904,2,3,3,233,8,At Risk
12786,610,1,669,669,1,1,3,113,5,Lost
12787,10,4,799,799,5,3,3,533,11,Loyal Customers
12788,463,4,385,385,1,3,2,132,6,At Risk
12789,65,3,225,225,3,3,1,331,7,Loyal Customers
12790,192,2,547,547,2,2,2,222,6,Lost
12791,374,5,657,657,2,4,3,243,9,At Risk
12792,257,2,715,715,2,2,3,223,7,Lost
12793,335,3,746,746,2,3,3,233,8,At Risk
12794,53,2,860,860,4,2,3,423,9,New Customers
12795,19,1,318,318,5,1,2,512,8,New Customers
12796,628,1,351,351,1,1,2,112,4,Lost
12797,366,2,468,468,2,2,2,222,6,Lost
12798,10,4,8511,8511,5,3,5,535,13,Loyal Customers
12799,529,1,219,219,1,1,1,111,3,Lost
12800,470,2,500,500,1,2,2,122,5,Lost
12801,501,1,872,872,1,1,3,113,5,Lost
12802,187,5,2186,2186,3,4,4,344,11,Loyal Customers
12803,393,1,1018,1018,2,1,3,213,6,Lost
12804,466,2,325,325,1,2,2,122,5,Lost
12805,382,4,1231,1231,2,3,4,234,9,At Risk
12806,572,2,2559,2559,1,2,4,124,7,Lost
12807,383,1,250,250,2,1,1,211,4,Lost
12808,37,5,749,749,4,4,3,443,11,Loyal Customers
12809,178,3,1384,1384,3,3,4,334,10,Loyal Customers
12810,535,2,535,535,1,2,2,122,5,Lost
12811,262,4,894,894,2,3,3,233,8,At Risk
12812,45,1,230,230,4,1,1,411,6,New Customers
12813,502,3,1622,1622,1,3,4,134,8,At Risk
12814,102,1,86,86,3,1,1,311,5,Lost
12815,148,2,863,863,3,2,3,323,8,Lost
12816,96,2,452,452,3,2,2,322,7,Lost
12817,281,3,571,571,2,3,2,232,7,At Risk
12818,262,1,1182,1182,2,1,3,213,6,Lost
12819,458,1,541,541,1,1,2,112,4,Lost
12820,3,11,2690,2690,5,5,4,554,14,Champions
12821,214,2,221,221,2,2,1,221,5,Lost
12822,71,2,949,949,3,2,3,323,8,Lost
12823,75,18,6502,6502,3,5,5,355,13,Loyal Customers
12824,60,1,397,397,3,1,2,312,6,Lost
12825,521,2,519,519,1,2,2,122,5,Lost
12826,3,12,2801,2801,5,5,4,554,14,Champions
12827,6,3,430,430,5,3,2,532,10,Loyal Customers
12828,3,6,1019,1019,5,4,3,543,12,Loyal Customers
12829,337,3,385,385,2,3,2,232,7,At Risk
12830,38,6,6815,6815,4,4,5,445,13,Champions
12831,262,3,451,451,2,3,2,232,7,At Risk
12832,32,2,383,383,4,2,2,422,8,New Customers
12833,145,1,417,417,3,1,2,312,6,Lost
12834,283,1,312,312,2,1,2,212,5,Lost
12835,428,41,5997,5997,1,5,5,155,11,At Risk
12836,59,15,6560,6560,4,5,5,455,14,Champions
12837,173,2,663,663,3,2,3,323,8,Lost
12838,34,10,2976,2976,4,5,5,455,14,Champions
12839,3,26,9669,9669,5,5,5,555,15,Champions
12840,144,7,4042,4042,3,4,5,345,12,Loyal Customers
12841,5,40,6958,6958,5,5,5,555,15,Champions
12842,70,4,1918,1918,3,3,4,334,10,Loyal Customers
12843,66,28,6462,6462,3,5,5,355,13,Loyal Customers
12844,29,4,649,649,4,3,3,433,10,Loyal Customers
12845,267,4,354,354,2,3,2,232,7,At Risk
12846,682,1,16,16,1,1,1,111,3,Lost
12847,22,2,1609,1609,4,2,4,424,10,New Customers
12848,676,1,208,208,1,1,1,111,3,Lost
12849,31,6,3016,3016,4,4,5,445,13,Champions
12850,446,1,330,330,1,1,2,112,4,Lost
12851,97,2,281,281,3,2,1,321,6,Lost
12852,295,1,312,312,2,1,2,212,5,Lost
12853,135,11,3908,3908,3,5,5,355,13,Loyal Customers
12854,79,7,2971,2971,3,4,5,345,12,Loyal Customers
12855,373,4,613,613,2,3,3,233,8,At Risk
12856,8,6,2171,2171,5,4,4,544,13,Champions
12857,211,6,3688,3688,2,4,5,245,11,At Risk
12858,383,1,147,147,2,1,1,211,4,Lost
12859,459,1,575,575,1,1,2,112,4,Lost
12860,693,1,54,54,1,1,1,111,3,Lost
12861,620,1,68,68,1,1,1,111,3,Lost
12862,426,2,985,985,1,2,3,123,6,Lost
12863,52,6,2793,2793,4,4,4,444,12,Champions
